,sex,age,priors_count,c_charge_degree,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other
6832,1,-0.9067821969178439,-0.48138430431501034,1,1,0,0,0,0,0
219,0,1.3983738040538483,-0.6927874630415009,1,0,0,1,0,0,0
7022,1,0.9714930631331645,-0.2699811455885199,1,1,0,0,0,0,0
5894,1,-1.2482867896543908,-0.48138430431501034,0,1,0,0,0,0,0
3169,1,-0.7360299005495704,-0.2699811455885199,0,1,0,0,0,0,0
6666,1,-0.13839686326061312,-0.6927874630415009,1,0,0,1,0,0,0
862,1,0.1177315812917971,1.2098409654969136,1,1,0,0,0,0,0
4907,1,3.874282101393814,-0.6927874630415009,1,0,0,1,0,0,0
5686,1,0.03235543310766036,2.6896630765823466,0,1,0,0,0,0,0
1380,1,0.800740766764891,-0.6927874630415009,1,0,0,1,0,0,0
3239,1,-0.13839686326061312,0.1528251718644611,0,1,0,0,0,0,0
4681,1,-1.1629106414702541,-0.6927874630415009,1,1,0,0,0,0,0
5382,1,0.5446123222124808,-0.6927874630415009,0,0,0,1,0,0,0
570,1,0.6299884703966175,-0.6927874630415009,1,0,0,1,0,0,0
3676,1,1.5691261004221218,-0.6927874630415009,1,0,0,1,0,0,0
534,1,0.20310772947593386,-0.48138430431501034,0,0,0,0,0,0,1
3474,1,-0.7360299005495704,-0.48138430431501034,1,1,0,0,0,0,0
1925,1,0.1177315812917971,-0.6927874630415009,1,0,0,0,0,0,1
6888,0,-0.9921583451019806,-0.2699811455885199,1,1,0,0,0,0,0
34,1,1.2276215076855748,0.7870346480439325,0,0,0,0,0,0,1
921,1,0.9714930631331645,-0.6927874630415009,1,1,0,0,0,0,0
6166,1,0.7153646185807543,-0.05857798686202939,1,0,0,0,1,0,0
6046,1,-0.3091491596288866,-0.48138430431501034,0,0,0,1,0,0,0
2232,1,1.4837499522379851,-0.2699811455885199,0,1,0,0,0,0,0
1312,1,-0.5652776041812969,1.6326472829498946,1,0,0,0,1,0,0
116,1,-1.0775344932861173,-0.6927874630415009,0,1,0,0,0,0,0
6881,1,1.6545022486062586,-0.6927874630415009,1,0,0,1,0,0,0
3278,1,-0.8214060487337072,-0.6927874630415009,1,0,0,1,0,0,0
3914,1,-0.22377301144474987,-0.2699811455885199,0,0,0,1,0,0,0
6342,1,0.20310772947593386,-0.2699811455885199,0,1,0,0,0,0,0
2340,1,-0.6506537523654337,0.998437806770423,0,1,0,0,0,0,0
6619,1,-0.5652776041812969,0.36422833059095155,0,1,0,0,0,0,0
5316,1,-0.6506537523654337,0.1528251718644611,0,1,0,0,0,0,0
2257,1,0.1177315812917971,-0.6927874630415009,0,0,0,1,0,0,0
1007,1,-0.5652776041812969,0.575631489317442,0,1,0,0,0,0,0
1992,1,0.6299884703966175,-0.6927874630415009,0,1,0,0,0,0,0
1055,1,1.9106306931586687,3.3238725527618183,0,1,0,0,0,0,0
2536,1,-0.7360299005495704,-0.6927874630415009,1,0,0,1,0,0,0
128,0,-0.8214060487337072,-0.2699811455885199,0,0,0,1,0,0,0
3327,0,-0.3091491596288866,-0.2699811455885199,0,0,0,1,0,0,0
4369,1,0.5446123222124808,-0.6927874630415009,0,1,0,0,0,0,0
6049,1,0.03235543310766036,-0.05857798686202939,0,0,0,1,0,0,0
3434,1,-0.3091491596288866,-0.6927874630415009,1,0,0,0,0,0,1
6219,1,0.2884838776600706,0.7870346480439325,1,1,0,0,0,0,0
1889,1,0.1177315812917971,-0.6927874630415009,1,0,0,0,1,0,0
4355,0,0.20310772947593386,-0.05857798686202939,0,1,0,0,0,0,0
7054,1,-0.9067821969178439,-0.6927874630415009,1,1,0,0,0,0,0
5481,1,-0.4799014559971601,1.2098409654969136,0,0,0,1,0,0,0
2961,1,0.8861169149490278,-0.48138430431501034,1,0,0,1,0,0,0
5701,0,-0.4799014559971601,-0.6927874630415009,0,0,0,1,0,0,0
2481,1,-0.6506537523654337,-0.48138430431501034,1,1,0,0,0,0,0
2032,1,2.166759137711079,-0.6927874630415009,0,1,0,0,0,0,0
3765,1,-0.9921583451019806,-0.2699811455885199,0,1,0,0,0,0,0
6790,1,-0.4799014559971601,0.36422833059095155,0,0,0,0,0,0,1
4800,1,-0.39452530781302336,-0.2699811455885199,1,0,0,1,0,0,0
1291,1,0.2884838776600706,-0.2699811455885199,0,0,1,0,0,0,0
1326,1,-0.13839686326061312,-0.6927874630415009,1,0,0,0,0,0,1
2278,1,1.2276215076855748,-0.2699811455885199,0,0,0,0,0,0,1
5224,1,-1.0775344932861173,-0.6927874630415009,0,0,0,0,1,0,0
943,1,-0.13839686326061312,0.7870346480439325,0,1,0,0,0,0,0
4420,1,-0.8214060487337072,-0.05857798686202939,1,1,0,0,0,0,0
1626,1,-0.22377301144474987,-0.48138430431501034,0,1,0,0,0,0,0
6989,1,-0.22377301144474987,0.575631489317442,0,1,0,0,0,0,0
5898,1,1.7398783967903952,0.7870346480439325,0,0,0,1,0,0,0
7111,1,1.825254544974532,5.860710457479704,0,1,0,0,0,0,0
5054,1,0.8861169149490278,-0.2699811455885199,1,0,0,1,0,0,0
6546,1,-1.1629106414702541,-0.48138430431501034,0,1,0,0,0,0,0
6785,1,-0.3091491596288866,1.2098409654969136,1,1,0,0,0,0,0
6806,1,-1.0775344932861173,-0.6927874630415009,1,0,0,1,0,0,0
1805,1,-0.7360299005495704,1.2098409654969136,0,1,0,0,0,0,0
3633,1,-0.9067821969178439,2.266856759129366,0,1,0,0,0,0,0
5720,1,1.3983738040538483,0.1528251718644611,0,0,0,1,0,0,0
2823,1,1.4837499522379851,0.7870346480439325,0,1,0,0,0,0,0
4398,1,-0.39452530781302336,-0.48138430431501034,0,0,0,1,0,0,0
2375,1,1.3129976558697116,-0.6927874630415009,0,0,0,1,0,0,0
4537,0,-0.13839686326061312,-0.6927874630415009,0,1,0,0,0,0,0
5938,1,-1.2482867896543908,-0.05857798686202939,0,1,0,0,0,0,0
3525,1,-1.1629106414702541,-0.6927874630415009,0,1,0,0,0,0,0
3708,1,0.37386002584420736,-0.05857798686202939,0,0,0,1,0,0,0
2859,0,-0.9921583451019806,-0.6927874630415009,1,0,0,0,0,0,1
4886,0,-0.4799014559971601,-0.48138430431501034,1,1,0,0,0,0,0
2221,0,-0.4799014559971601,1.2098409654969136,1,1,0,0,0,0,0
6001,1,-0.7360299005495704,-0.6927874630415009,0,1,0,0,0,0,0
1420,1,0.6299884703966175,-0.48138430431501034,1,0,0,1,0,0,0
6779,1,-0.22377301144474987,-0.6927874630415009,1,0,0,0,1,0,0
2323,1,0.2884838776600706,-0.05857798686202939,0,1,0,0,0,0,0
3315,1,-0.13839686326061312,-0.48138430431501034,1,1,0,0,0,0,0
5956,1,0.20310772947593386,-0.2699811455885199,1,0,0,1,0,0,0
5266,1,0.5446123222124808,-0.6927874630415009,1,0,0,1,0,0,0
3456,1,-0.6506537523654337,-0.6927874630415009,0,0,0,1,0,0,0
7178,0,-1.0775344932861173,-0.48138430431501034,0,0,0,1,0,0,0
610,1,0.2884838776600706,-0.6927874630415009,0,0,0,1,0,0,0
966,1,0.03235543310766036,-0.48138430431501034,1,1,0,0,0,0,0
5982,1,-1.2482867896543908,-0.6927874630415009,1,0,0,0,0,0,1
2750,1,0.800740766764891,-0.6927874630415009,1,0,0,0,1,0,0
519,1,-0.4799014559971601,0.36422833059095155,0,1,0,0,0,0,0
741,0,-1.0775344932861173,-0.6927874630415009,1,0,0,1,0,0,0
3040,1,-0.22377301144474987,1.8440504416763848,1,1,0,0,0,0,0
6412,1,-0.7360299005495704,0.7870346480439325,0,1,0,0,0,0,0
1079,1,0.4592361740283441,-0.6927874630415009,1,0,0,0,1,0,0
4173,1,-0.7360299005495704,-0.48138430431501034,1,1,0,0,0,0,0
7109,0,-0.4799014559971601,-0.2699811455885199,0,1,0,0,0,0,0
1247,1,-0.39452530781302336,-0.05857798686202939,1,0,0,1,0,0,0
3546,0,-0.13839686326061312,-0.6927874630415009,0,1,0,0,0,0,0
3529,1,-0.6506537523654337,-0.2699811455885199,0,1,0,0,0,0,0
1387,1,-0.7360299005495704,-0.05857798686202939,0,1,0,0,0,0,0
4034,1,-0.7360299005495704,-0.6927874630415009,1,1,0,0,0,0,0
6078,0,0.4592361740283441,-0.6927874630415009,1,0,0,1,0,0,0
1108,1,-0.8214060487337072,-0.48138430431501034,0,0,0,0,0,0,1
5727,1,0.37386002584420736,-0.6927874630415009,0,0,0,1,0,0,0
6620,1,2.6790160268158996,0.36422833059095155,0,1,0,0,0,0,0
15,1,-0.3091491596288866,0.7870346480439325,0,1,0,0,0,0,0
1322,1,-0.7360299005495704,-0.6927874630415009,1,1,0,0,0,0,0
5545,1,-0.39452530781302336,2.0554536004028754,0,0,0,0,0,0,1
3179,0,-0.39452530781302336,0.1528251718644611,0,1,0,0,0,0,0
5916,1,0.7153646185807543,-0.2699811455885199,1,1,0,0,0,0,0
758,1,-1.1629106414702541,-0.48138430431501034,0,0,0,0,0,0,1
3145,1,0.03235543310766036,-0.6927874630415009,0,1,0,0,0,0,0
3974,1,1.9106306931586687,3.3238725527618183,0,1,0,0,0,0,0
5575,1,0.20310772947593386,0.998437806770423,1,1,0,0,0,0,0
4583,1,0.8861169149490278,1.8440504416763848,1,1,0,0,0,0,0
1551,1,1.1422453595014381,-0.48138430431501034,0,0,0,0,1,0,0
1979,1,-1.1629106414702541,-0.48138430431501034,0,1,0,0,0,0,0
4805,1,-0.39452530781302336,-0.6927874630415009,0,0,0,1,0,0,0
6605,0,0.1177315812917971,-0.6927874630415009,0,0,0,1,0,0,0
4585,1,1.6545022486062586,0.1528251718644611,0,1,0,0,0,0,0
3068,1,-1.1629106414702541,-0.48138430431501034,0,1,0,0,0,0,0
2590,1,0.4592361740283441,-0.6927874630415009,0,0,0,0,1,0,0
6569,1,-0.6506537523654337,-0.6927874630415009,0,0,0,1,0,0,0
771,1,-0.4799014559971601,-0.48138430431501034,1,1,0,0,0,0,0
510,1,1.1422453595014381,1.8440504416763848,0,0,0,0,0,0,1
2040,1,0.5446123222124808,-0.2699811455885199,0,0,1,0,0,0,0
5674,1,-0.6506537523654337,-0.48138430431501034,0,0,0,0,1,0,0
3128,1,0.2884838776600706,-0.05857798686202939,0,1,0,0,0,0,0
7048,1,0.800740766764891,-0.48138430431501034,1,0,0,1,0,0,0
2934,1,-0.8214060487337072,1.2098409654969136,0,0,0,1,0,0,0
6716,0,-0.4799014559971601,-0.6927874630415009,1,0,0,0,1,0,0
4506,1,-0.4799014559971601,-0.6927874630415009,0,0,0,1,0,0,0
977,1,0.6299884703966175,-0.6927874630415009,1,0,0,1,0,0,0
1284,0,-0.7360299005495704,0.36422833059095155,0,1,0,0,0,0,0
7062,1,0.1177315812917971,1.2098409654969136,0,1,0,0,0,0,0
5236,0,-1.0775344932861173,-0.6927874630415009,0,1,0,0,0,0,0
5722,1,0.6299884703966175,0.7870346480439325,0,1,0,0,0,0,0
2714,1,0.20310772947593386,0.36422833059095155,0,1,0,0,0,0,0
4994,1,2.0813829895269422,-0.6927874630415009,1,0,0,1,0,0,0
1002,1,-0.8214060487337072,-0.2699811455885199,0,1,0,0,0,0,0
4319,1,-1.1629106414702541,-0.6927874630415009,0,1,0,0,0,0,0
3418,1,-0.9921583451019806,-0.6927874630415009,0,1,0,0,0,0,0
6410,1,0.37386002584420736,-0.2699811455885199,1,1,0,0,0,0,0
4717,1,1.825254544974532,-0.6927874630415009,0,1,0,0,0,0,0
6320,1,0.7153646185807543,-0.6927874630415009,0,0,0,1,0,0,0
6791,1,-0.5652776041812969,-0.05857798686202939,0,0,0,0,1,0,0
2484,1,-0.22377301144474987,2.6896630765823466,0,1,0,0,0,0,0
818,0,-0.22377301144474987,-0.48138430431501034,1,0,0,1,0,0,0
6171,1,0.4592361740283441,3.5352757114883087,0,1,0,0,0,0,0
3305,0,0.20310772947593386,0.7870346480439325,0,0,0,1,0,0,0
224,0,-0.39452530781302336,-0.2699811455885199,0,1,0,0,0,0,0
347,1,-0.9921583451019806,-0.48138430431501034,0,1,0,0,0,0,0
5881,1,0.2884838776600706,2.901066235308837,1,1,0,0,0,0,0
3375,1,0.4592361740283441,1.2098409654969136,0,0,0,1,0,0,0
6843,1,-0.6506537523654337,-0.2699811455885199,1,0,0,0,0,0,1
3500,1,-0.9067821969178439,-0.48138430431501034,1,1,0,0,0,0,0
4533,1,0.7153646185807543,-0.48138430431501034,1,1,0,0,0,0,0
1571,0,3.0205206195524466,-0.48138430431501034,0,1,0,0,0,0,0
2567,1,0.9714930631331645,-0.05857798686202939,0,0,1,0,0,0,0
2898,1,-1.0775344932861173,-0.6927874630415009,1,0,0,1,0,0,0
3164,1,0.5446123222124808,-0.2699811455885199,1,0,0,1,0,0,0
2625,1,0.03235543310766036,0.1528251718644611,1,0,0,1,0,0,0
2661,0,1.4837499522379851,-0.6927874630415009,1,0,0,1,0,0,0
3687,1,0.20310772947593386,-0.6927874630415009,1,1,0,0,0,0,0
248,1,0.800740766764891,0.998437806770423,1,0,0,1,0,0,0
3385,0,-0.3091491596288866,-0.05857798686202939,0,1,0,0,0,0,0
1763,1,-1.0775344932861173,-0.2699811455885199,0,0,0,1,0,0,0
5518,1,-0.9921583451019806,-0.05857798686202939,0,0,0,0,1,0,0
4665,1,-0.8214060487337072,-0.2699811455885199,1,0,0,0,0,0,1
84,1,-0.8214060487337072,2.266856759129366,0,1,0,0,0,0,0
6833,1,1.3983738040538483,-0.6927874630415009,0,0,0,1,0,0,0
5243,1,0.20310772947593386,0.998437806770423,0,0,0,0,1,0,0
3231,1,-1.1629106414702541,-0.6927874630415009,0,1,0,0,0,0,0
3245,1,-0.6506537523654337,-0.6927874630415009,0,0,0,0,0,0,1
6855,1,-0.9921583451019806,-0.6927874630415009,0,1,0,0,0,0,0
5630,1,1.4837499522379851,-0.2699811455885199,1,1,0,0,0,0,0
6056,1,-0.6506537523654337,-0.48138430431501034,0,1,0,0,0,0,0
6738,1,-0.39452530781302336,2.266856759129366,0,1,0,0,0,0,0
4463,1,-1.0775344932861173,-0.48138430431501034,0,1,0,0,0,0,0
1450,1,2.252135285895216,-0.05857798686202939,1,0,0,1,0,0,0
4473,1,2.3375114340793526,3.9580820289412895,0,1,0,0,0,0,0
3058,0,-0.6506537523654337,-0.6927874630415009,1,0,0,1,0,0,0
1922,1,-0.7360299005495704,-0.05857798686202939,1,0,0,1,0,0,0
7061,1,-0.7360299005495704,-0.6927874630415009,0,1,0,0,0,0,0
1622,1,-0.39452530781302336,-0.6927874630415009,1,1,0,0,0,0,0
6995,1,2.508263730447626,-0.6927874630415009,1,1,0,0,0,0,0
5899,1,-1.0775344932861173,-0.48138430431501034,0,1,0,0,0,0,0
133,0,-0.9067821969178439,-0.6927874630415009,1,1,0,0,0,0,0
6107,0,1.3129976558697116,-0.05857798686202939,0,0,0,1,0,0,0
5842,1,1.4837499522379851,-0.6927874630415009,1,0,0,1,0,0,0
1690,0,0.800740766764891,0.1528251718644611,0,0,0,1,0,0,0
5262,1,1.0568692113173013,-0.6927874630415009,1,0,0,1,0,0,0
4953,0,2.6790160268158996,1.6326472829498946,0,1,0,0,0,0,0
1741,1,-0.39452530781302336,-0.48138430431501034,1,0,0,1,0,0,0
3650,1,-0.6506537523654337,-0.2699811455885199,0,1,0,0,0,0,0
2306,1,-0.9921583451019806,-0.6927874630415009,0,0,0,1,0,0,0
597,1,-0.3091491596288866,-0.05857798686202939,1,1,0,0,0,0,0
5520,1,-0.8214060487337072,0.7870346480439325,0,1,0,0,0,0,0
6179,1,0.8861169149490278,-0.6927874630415009,0,1,0,0,0,0,0
4979,0,0.7153646185807543,-0.2699811455885199,1,1,0,0,0,0,0
5205,1,-0.5652776041812969,-0.6927874630415009,1,0,0,0,0,0,1
3022,1,-0.9067821969178439,0.1528251718644611,0,1,0,0,0,0,0
2186,1,0.2884838776600706,7.129129409838647,1,1,0,0,0,0,0
6641,0,1.1422453595014381,-0.48138430431501034,0,1,0,0,0,0,0
305,0,-1.1629106414702541,-0.6927874630415009,1,1,0,0,0,0,0
2252,1,-1.1629106414702541,-0.6927874630415009,0,1,0,0,0,0,0
420,1,-1.0775344932861173,-0.48138430431501034,0,0,0,1,0,0,0
3420,1,-0.8214060487337072,-0.6927874630415009,0,1,0,0,0,0,0
3141,0,-0.39452530781302336,1.421244124223404,0,1,0,0,0,0,0
4007,0,-0.9921583451019806,-0.6927874630415009,0,0,0,1,0,0,0
539,1,-0.9067821969178439,1.2098409654969136,1,0,0,1,0,0,0
4059,1,-0.6506537523654337,-0.05857798686202939,0,1,0,0,0,0,0
564,1,-0.8214060487337072,-0.2699811455885199,0,0,0,1,0,0,0
1317,1,0.7153646185807543,-0.2699811455885199,0,1,0,0,0,0,0
932,1,-0.9067821969178439,-0.2699811455885199,0,1,0,0,0,0,0
5070,1,-0.05302071507647639,0.998437806770423,0,1,0,0,0,0,0
3907,1,1.7398783967903952,-0.6927874630415009,1,0,0,1,0,0,0
5453,1,0.7153646185807543,2.478259917855856,1,1,0,0,0,0,0
30,1,-0.13839686326061312,-0.6927874630415009,0,1,0,0,0,0,0
3800,1,-0.9067821969178439,0.998437806770423,0,1,0,0,0,0,0
2932,1,1.825254544974532,4.38088834639427,0,1,0,0,0,0,0
6177,1,-0.7360299005495704,-0.48138430431501034,0,1,0,0,0,0,0
2450,1,-0.7360299005495704,-0.48138430431501034,1,1,0,0,0,0,0
1514,0,-1.0775344932861173,-0.6927874630415009,0,1,0,0,0,0,0
1507,0,-0.9921583451019806,-0.6927874630415009,0,0,0,0,1,0,0
273,0,1.1422453595014381,-0.6927874630415009,0,1,0,0,0,0,0
3742,1,-0.13839686326061312,-0.48138430431501034,1,1,0,0,0,0,0
5494,1,2.6790160268158996,-0.2699811455885199,1,0,0,1,0,0,0
2194,1,0.1177315812917971,-0.6927874630415009,1,1,0,0,0,0,0
4426,0,-1.3336629378385276,-0.6927874630415009,1,1,0,0,0,0,0
6188,1,-0.9921583451019806,-0.2699811455885199,0,0,0,0,1,0,0
5663,1,0.800740766764891,-0.6927874630415009,0,1,0,0,0,0,0
5131,1,-0.6506537523654337,5.015097822573742,1,1,0,0,0,0,0
4522,1,-0.13839686326061312,3.112469394035328,0,1,0,0,0,0,0
4782,1,-0.05302071507647639,3.3238725527618183,1,1,0,0,0,0,0
5931,0,-0.22377301144474987,-0.6927874630415009,1,0,0,0,1,0,0
718,1,-0.05302071507647639,-0.6927874630415009,1,0,0,1,0,0,0
2649,1,0.8861169149490278,3.3238725527618183,0,0,0,1,0,0,0
5482,1,-0.5652776041812969,-0.2699811455885199,0,1,0,0,0,0,0
5132,1,-0.7360299005495704,0.7870346480439325,0,1,0,0,0,0,0
4432,0,0.1177315812917971,-0.6927874630415009,1,0,0,1,0,0,0
3781,1,0.2884838776600706,0.36422833059095155,0,0,0,1,0,0,0
5826,1,-0.4799014559971601,0.7870346480439325,0,1,0,0,0,0,0
7094,0,-0.9921583451019806,-0.48138430431501034,0,1,0,0,0,0,0
5324,1,-0.6506537523654337,-0.2699811455885199,0,1,0,0,0,0,0
240,1,-0.39452530781302336,0.1528251718644611,0,1,0,0,0,0,0
408,1,2.166759137711079,0.1528251718644611,0,0,0,0,0,0,1
2741,1,2.0813829895269422,-0.6927874630415009,0,0,0,1,0,0,0
976,1,-0.4799014559971601,0.575631489317442,0,1,0,0,0,0,0
5226,0,-0.13839686326061312,-0.6927874630415009,0,0,0,1,0,0,0
3758,1,1.3983738040538483,-0.05857798686202939,0,1,0,0,0,0,0
462,1,-0.7360299005495704,1.421244124223404,0,1,0,0,0,0,0
3644,1,0.03235543310766036,0.36422833059095155,0,1,0,0,0,0,0
5455,1,-0.6506537523654337,0.575631489317442,0,1,0,0,0,0,0
6869,1,3.105896767736583,-0.05857798686202939,1,0,0,1,0,0,0
3870,1,1.3129976558697116,1.2098409654969136,0,0,0,1,0,0,0
3142,1,-0.3091491596288866,0.36422833059095155,0,0,0,0,0,0,1
4139,1,-0.9921583451019806,-0.2699811455885199,1,1,0,0,0,0,0
4235,0,2.422887582263489,-0.48138430431501034,0,1,0,0,0,0,0
2556,1,-0.7360299005495704,0.36422833059095155,1,0,0,1,0,0,0
3913,1,-0.13839686326061312,-0.6927874630415009,1,0,0,1,0,0,0
1949,1,-0.7360299005495704,-0.2699811455885199,1,1,0,0,0,0,0
3118,1,-0.9067821969178439,-0.48138430431501034,0,0,0,1,0,0,0
7006,0,0.8861169149490278,-0.6927874630415009,0,1,0,0,0,0,0
5921,1,0.7153646185807543,-0.05857798686202939,1,1,0,0,0,0,0
6984,1,-1.1629106414702541,-0.6927874630415009,1,0,0,1,0,0,0
797,1,-1.2482867896543908,-0.6927874630415009,0,0,0,1,0,0,0
4338,1,-0.9921583451019806,-0.48138430431501034,1,0,0,1,0,0,0
2822,1,1.2276215076855748,0.575631489317442,1,1,0,0,0,0,0
1991,1,0.9714930631331645,0.36422833059095155,0,1,0,0,0,0,0
71,1,-1.0775344932861173,-0.48138430431501034,0,0,0,0,1,0,0
1965,0,-0.8214060487337072,-0.6927874630415009,0,0,0,1,0,0,0
5473,1,1.0568692113173013,-0.48138430431501034,1,0,0,1,0,0,0
4974,1,1.3129976558697116,1.2098409654969136,1,0,0,1,0,0,0
3069,1,-0.6506537523654337,-0.48138430431501034,1,0,0,1,0,0,0
2209,1,1.4837499522379851,1.2098409654969136,0,0,0,0,1,0,0
923,1,-0.5652776041812969,1.421244124223404,1,1,0,0,0,0,0
3543,1,-0.6506537523654337,-0.6927874630415009,0,1,0,0,0,0,0
5200,1,0.20310772947593386,-0.6927874630415009,0,0,0,1,0,0,0
6539,1,-0.05302071507647639,2.0554536004028754,0,1,0,0,0,0,0
3848,1,-1.0775344932861173,-0.6927874630415009,1,1,0,0,0,0,0
5772,0,0.6299884703966175,-0.6927874630415009,0,0,0,1,0,0,0
5917,1,-1.2482867896543908,-0.6927874630415009,0,0,0,0,1,0,0
1598,1,-0.3091491596288866,0.36422833059095155,0,1,0,0,0,0,0
2005,0,0.4592361740283441,0.1528251718644611,1,1,0,0,0,0,0
5272,1,-0.6506537523654337,0.575631489317442,0,0,0,0,1,0,0
7179,0,1.2276215076855748,-0.05857798686202939,0,0,0,1,0,0,0
4872,1,1.4837499522379851,-0.6927874630415009,0,1,0,0,0,0,0
1958,1,1.3129976558697116,-0.6927874630415009,0,1,0,0,0,0,0
860,1,-0.9067821969178439,-0.48138430431501034,0,1,0,0,0,0,0
5643,1,0.03235543310766036,0.575631489317442,0,1,0,0,0,0,0
5457,0,-0.9067821969178439,-0.48138430431501034,0,0,0,1,0,0,0
5036,1,-0.7360299005495704,0.1528251718644611,0,1,0,0,0,0,0
6113,1,2.0813829895269422,-0.48138430431501034,1,1,0,0,0,0,0
6067,1,-0.13839686326061312,-0.05857798686202939,0,1,0,0,0,0,0
2836,1,0.20310772947593386,-0.6927874630415009,0,1,0,0,0,0,0
1818,0,-0.3091491596288866,-0.6927874630415009,1,0,0,1,0,0,0
622,0,-1.3336629378385276,-0.2699811455885199,0,0,0,1,0,0,0
3340,1,-0.3091491596288866,1.421244124223404,0,1,0,0,0,0,0
3188,1,-0.4799014559971601,-0.2699811455885199,0,1,0,0,0,0,0
2861,1,0.1177315812917971,1.2098409654969136,1,0,0,1,0,0,0
1725,1,-0.6506537523654337,-0.05857798686202939,0,1,0,0,0,0,0
3541,1,-0.3091491596288866,-0.2699811455885199,1,1,0,0,0,0,0
3791,0,1.5691261004221218,-0.6927874630415009,1,0,0,0,1,0,0
6147,1,1.2276215076855748,1.421244124223404,0,1,0,0,0,0,0
6606,0,0.1177315812917971,-0.48138430431501034,1,0,0,0,1,0,0
2277,1,-0.9067821969178439,-0.48138430431501034,0,0,0,1,0,0,0
937,1,-0.8214060487337072,-0.2699811455885199,1,1,0,0,0,0,0
1003,1,-0.3091491596288866,-0.6927874630415009,0,1,0,0,0,0,0
4804,1,0.5446123222124808,3.3238725527618183,0,1,0,0,0,0,0
7121,0,-0.5652776041812969,0.575631489317442,1,1,0,0,0,0,0
6932,1,-0.5652776041812969,2.0554536004028754,0,1,0,0,0,0,0
1673,1,2.508263730447626,-0.6927874630415009,0,1,0,0,0,0,0
5617,1,-0.39452530781302336,2.0554536004028754,0,1,0,0,0,0,0
1722,1,1.9106306931586687,-0.6927874630415009,0,1,0,0,0,0,0
2031,1,-0.3091491596288866,2.0554536004028754,1,1,0,0,0,0,0
262,1,-0.4799014559971601,-0.48138430431501034,1,1,0,0,0,0,0
5735,1,-0.39452530781302336,0.998437806770423,1,1,0,0,0,0,0
1515,1,-0.13839686326061312,0.7870346480439325,1,1,0,0,0,0,0
